127.0.0.1 - - [31/Mar/2025:09:47:33 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [31/Mar/2025:09:47:33 +0900] "GET /WebUI/1_html5_class/02_html5_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2025:09:47:33 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:02:12 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:02:15 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:02:15 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:02:34 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:02:34 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:02:46 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:02:49 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:02:49 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:03:11 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:03:11 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:04:47 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:04:48 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:04:58 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:04:58 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:05:00 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 1612
